,Rock,,,,,,,,,,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/ec72b9151a400d6ece9beb9f65d55ad37491627c","https://i.scdn.co/image/248cf4c43a09393cf6f63ed137e6a8e20eb7e119","https://i.scdn.co/image/2e441ae8f2ba07d3545d263094512bd157c2c63e","https://i.scdn.co/image/0c99389f756fa08b8c504ebdcb2b00f906aa9b6c","https://i.scdn.co/image/4e10a4b20a4329cf083db88ad80c756df5e8c247","https://i.scdn.co/image/d6695e785737955d4417cc9363262e8b68f06f5c","https://i.scdn.co/image/ffd92e9c2ca517b9e3e728aa6710cbfe0cddc80e","https://i.scdn.co/image/7ee4f2b814d6b899e62dd69cba94624f70edc877","https://i.scdn.co/image/77d034ae9ffa7f3752786bb2a72f4be02155afbf","https://i.scdn.co/image/153ab476c08ed39bd752b942b8367f96b5f22382","https://i.scdn.co/image/b3511888aa2a54e6f0206cba6954fd044157a113","https://i.scdn.co/image/ffa6e5c07aad97bd632031de1d0eaad504ab5c8b","https://i.scdn.co/image/79eddf061ab3d4761efacb595b0cc393bb49382d","https://i.scdn.co/image/7199df74bb15de17f72704c79d482851c0cf4c38","https://i.scdn.co/image/9c24c71fae41df0d692ea8f8fdc1bc9f47c9263f","https://i.scdn.co/image/841b4191b4cf31628abf6f13e281b5fbad5d0fb7","https://i.scdn.co/image/cb8cbab189e9dfd92829cca3e88300b1a07d87da","https://i.scdn.co/image/466d175a58388768b977c324c346ba08c5a59af0","https://i.scdn.co/image/c8813ea36893563e752627623ea26b9e391f07b8","https://i.scdn.co/image/8277c6566e4ebe941c4a9246c3d50a440eec53a7","https://i.scdn.co/image/7e529991e0e57686e71169f33b78f2642da2c7f2",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Classical,,,,,,,,,,,,,,,,,,,,,,,
Red,"https://i.scdn.co/image/cea8f86b1a8eda7fa7024093186c4517fdde22ac","https://i.scdn.co/image/a4608dfcd98cff4075707725acef57fc3139b666",,,,,,,,,,,,,,,,,,,,,,
Orange,"https://i.scdn.co/image/de3876cb74e240a15451e172c856f1162ac4d65e","https://i.scdn.co/image/8508e2e121940cf702db84847fc9af8df1e9a62b",,,,,,,,,,,,,,,,,,,,,,
Yellow,"https://i.scdn.co/image/4c7354a253e562d95a434b9ed223ea56cdf50b50","https://i.scdn.co/image/2589dbca13f8ee6fd169af387bcfc34af23bc49e",,,,,,,,,,,,,,,,,,,,,,
Green,"https://i.scdn.co/image/eb07b4b2da057f84361a2e073dd9cc9cc243c273",,,,,,,,,,,,,,,,,,,,,,,
Blue,,,,,,,,,,,,,,,,,,,,,,,,
Purple,"https://i.scdn.co/image/de4f14f40d4244c9b54d42ca364bc79c6ee55c9b","https://i.scdn.co/image/f894e6330b6e4d5d7ae46808415053046fb2de9f",,,,,,,,,,,,,,,,,,,,,,
Pink,"https://i.scdn.co/image/8b596d4fac40d882b39ad27e14cc989889a897d4",,,,,,,,,,,,,,,,,,,,,,,
Brown,"https://i.scdn.co/image/65e3d6d8d73e98bec7a3085e611b5e33c8fe5224","https://i.scdn.co/image/1cae736c9abec88ea7b0eaf0c4d45e245b256182","https://i.scdn.co/image/861dd5ecd63546ef0b5ea09c7af8f2a8aecf4dc4","https://i.scdn.co/image/99c302a42b72e9270474d967d80b473e76cbc46b","https://i.scdn.co/image/909041bc13a0dbadc25e6672fe472c19a100fd4c",,,,,,,,,,,,,,,,,,,
Black,"https://i.scdn.co/image/d3597aeaec7d2b295bfcafd4f9e469788f698370","https://i.scdn.co/image/349233b69c00443027d16d3c09092ac36800bb6e","https://i.scdn.co/image/1ee6724d8dccf28731d166dd3ab04efb51691388","https://i.scdn.co/image/36189874a70a9339e0459dd853fc80c5d8a2f12b","https://i.scdn.co/image/3049c703cc49fec78697cbe9816ea4c6c41ceab9",,,,,,,,,,,,,,,,,,,
White,"https://i.scdn.co/image/1c01cacb804a6e87ab16aa6d7052cca302f5c02e","https://i.scdn.co/image/5038d0c1bdccba3af975d44f76c13582479b3cf8","https://i.scdn.co/image/f3c41c44d3029ee3405f09caa53b7e9a02afdb50","https://i.scdn.co/image/deee172efd0ad5f93e3b853730e5d186f2d03c41","https://i.scdn.co/image/78e31602bfc355d370a1a66e759d4bcaff569802","https://i.scdn.co/image/cf776ac0a373c59a77d5d158a7c415a3ddc2d5ad","https://i.scdn.co/image/1bc4f7848230cfefd8a37eb5dbc4cab888cea574",,,,,,,,,,,,,,,,,
Beige,"https://i.scdn.co/image/9cd26531727df1f8e4493328f7b583a9749e33bc","https://i.scdn.co/image/5d2a70fba9fe46fbdcfb4f7577dde7869f2ad9cd",,,,,,,,,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/94c5a5ff29fcccd055c0c561c171a7ff07c585e3","https://i.scdn.co/image/98c7d8c389e7a7699121c93be8f79f21da5904a8","https://i.scdn.co/image/8c14918b5e64b03740a0a8e88bb7fcfe99b8407f","https://i.scdn.co/image/44862ca4966fdf3cb862fdc697f5b5a98f763a9b","https://i.scdn.co/image/af176511d7568d147d25b9436ed5508360504c66","https://i.scdn.co/image/5bd30bbccf96650daed5fd39dc67ce3a36492914","https://i.scdn.co/image/ab722d8c4b2727cbdd8a109a205918c68386ef25","https://i.scdn.co/image/fa44b468373c4eae58e070a9ca7b38f7e126626c","https://i.scdn.co/image/ceb0ef8b249160088ddcc905d95145a76b41f2ba","https://i.scdn.co/image/bf6739da5fde5b1c86ba0576ef7c02ed6d58c2d8","https://i.scdn.co/image/e9e5d1bcff10f52857a30cb15f1f6595700232f4","https://i.scdn.co/image/698b8befcf3f02ff059f5f85d262c5073f653225","https://i.scdn.co/image/96e27d4ed9cb0a7d82e0ca86e407c5d860d1bd5b","https://i.scdn.co/image/aacafa2e22a0668e05c2d6f27fe0afbd532a2c8e","https://i.scdn.co/image/e29c95077a95a62b66faf1e7f25d57180839eff4","https://i.scdn.co/image/8bef9f16ac09d7a59cdefaaae11a019b5466e9d3","https://i.scdn.co/image/d144085db00ab9b15a69c6a77fc34046bfd48760","https://i.scdn.co/image/5089024d2bdbd76b79fcbd1332fb605e1a25c5cc","https://i.scdn.co/image/56e642cc084f7f68def97d97cd7073bb9f29e129","https://i.scdn.co/image/926d688534f6d12daf3c93b08d40097eef878ea3","https://i.scdn.co/image/3e97e64ef78057c60840356dfe8283b029c45a6c",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Electronic,,,,,,,,,,,,,,,,,,,,,,,
Red,"https://i.scdn.co/image/2af69d6fcc191e4489ed3ae283ee1d8995f1c251",,,,,,,,,,,,,,,,,,,,,,,
Orange,"https://i.scdn.co/image/b8e654b7154a051c6634343cbfa2c6897b95b52b","https://i.scdn.co/image/4eefff66a6aa0394dc8a795a9b32e48f48a04a07","https://i.scdn.co/image/6113c3917af550e4d5e57ceb28b850375079a150","https://i.scdn.co/image/2d6804b4b59ed8329cebe9fba23969e28c3084c1","https://i.scdn.co/image/f3c1fcd960584789b778217aaab70a9b31c77435","https://i.scdn.co/image/3ee0e67a91b6c8b4b4e16b35af09b24f90293747","https://i.scdn.co/image/adc375cf42a951982d3b07d89dadb81b10658588",,,,,,,,,,,,,,,,,
Yellow,"https://i.scdn.co/image/7ca5f44909380bbe4155492e4bc7fc6d0ff44745","https://i.scdn.co/image/8a4d38f782bfd847f6544cbff2a113a0d4a8c10f",,,,,,,,,,,,,,,,,,,,,,
Green,"https://i.scdn.co/image/021195b736a567fbe27ae2e84c55bd2f6721a892","https://i.scdn.co/image/58fd4ec397fb8d5ebd20eb99250a8d912a2fd65a","https://i.scdn.co/image/f2446546e6bc1d2ad8ffe07d473e9b94292825e8",,,,,,,,,,,,,,,,,,,,,
Blue,"https://i.scdn.co/image/95643469571d5490425154ca33c1550ac3fb9695","https://i.scdn.co/image/59ba8b75dff51cf309f0c786fc6b7ada72cc7cca","https://i.scdn.co/image/5a45a07b590dca866dc9df8702575215f4321b38","https://i.scdn.co/image/0e19be1aa9cb8abb17af8103b7bd7a2f0d649df2","https://i.scdn.co/image/6a47f5f74453fa2671335a1e959dcdc88d2097ec","https://i.scdn.co/image/a1a2e08be66df92c75e46ad8330c9d4937bff209","https://i.scdn.co/image/06c7ba9e48b9bee598200277040eb7abaed0b3c3","https://i.scdn.co/image/1b7e26ff724d2472bafdfca7c5ae8eeed5325de5","https://i.scdn.co/image/89b1fe9fdcefcc738e7af734901c26aac8943c91",,,,,,,,,,,,,,,
Purple,"https://i.scdn.co/image/37469fc44e4885f1a0eff06c6ca458d007ae1bdc","https://i.scdn.co/image/802982d4b4a85ce7c1fa5744abc74fb7448b18c1",,,,,,,,,,,,,,,,,,,,,,
Pink,"https://i.scdn.co/image/07b676744d50ad3b59e55e744c124765eb769056","https://i.scdn.co/image/caf6e54057641a30ce410f8894896050c57d017d","https://i.scdn.co/image/58a6515470522f906bf4490e3cf06a67c948afd5",,,,,,,,,,,,,,,,,,,,,
Brown,"https://i.scdn.co/image/b8e654b7154a051c6634343cbfa2c6897b95b52b","https://i.scdn.co/image/07b676744d50ad3b59e55e744c124765eb769056","https://i.scdn.co/image/15e910aef6b096fc472c3b98ded355752f77a44a","https://i.scdn.co/image/2d63a3530dcdb4055dba900fe60f49cc1dccac1e","https://i.scdn.co/image/334d61a18a550bd0cd11a51c700d19f856b84726",,,,,,,,,,,,,,,,,,,
Black,"https://i.scdn.co/image/071c7f412110d8754756e1833d978e5099a42648","https://i.scdn.co/image/9335a9345ed3624fb673c6848268c07b6c2cad54","https://i.scdn.co/image/b3d71d7a20d41146f24a7569c0869dfb3b16e860","https://i.scdn.co/image/baf79647f960a210a9c6e3141d4b84b87fbb263b","https://i.scdn.co/image/73304c633fc963d765eeb5dbbad040b2f01fe4de","https://i.scdn.co/image/3ae4a2a9a3db9b5532acccf179add53ac198b67b","https://i.scdn.co/image/c5f0ba273d41024001a626432f908ce93f17b6c3","https://i.scdn.co/image/975317b379166a69811cf885aa8890b9ddf4f942","https://i.scdn.co/image/8c8d585b5fde829bddd60bce3fd3254d477d8826","https://i.scdn.co/image/a63874bbc08bf43550fba15e0d931c8b5b4ba283","https://i.scdn.co/image/f06905ca417c6694fd012ba4283a33d04a7d6a6e","https://i.scdn.co/image/c0d174ebf58d18250b62b870d88b58bc150be01f","https://i.scdn.co/image/15de4cf91829285eaad10986a8e339906a69283c","https://i.scdn.co/image/506b3aee8a743d125460453499a56cb64e5a43ec",,,,,,,,,,
White,"https://i.scdn.co/image/20c64440f363e41319626fc383c06dab38843c00",,,,,,,,,,,,,,,,,,,,,,,
Beige,"https://i.scdn.co/image/3eb791d6c7ffc4aedf1bb71802e1e07f7900c290","https://i.scdn.co/image/03aba72d44d250281b7423f81b4cfac97baf5679",,,,,,,,,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/5acb2a5b069c2f14f6e7efd5daa9bd340131ca47","https://i.scdn.co/image/ee262bcc0e5fe2aff757e7e9b636f38cf6057a9d","https://i.scdn.co/image/c646e1915f97121832f5ac975272790e103ddde7","https://i.scdn.co/image/956b7a165b7936a2632ea8cd33019e31617ea94c","https://i.scdn.co/image/37d0dd9f0bb841e7879b2ed370f7a974f84458fb","https://i.scdn.co/image/e2afc11eddd4453c3c467cf74e1da894ed146d08","https://i.scdn.co/image/8f440b1487762e72e4434d13a0b2a9f8c5196992","https://i.scdn.co/image/1c6b3050c32fabf9a7e813e2f5e4db75ea292cb0","https://i.scdn.co/image/8e4121eb83cc0c2699de7fbcf67cf7fdbbc7b301","https://i.scdn.co/image/957e07424054f1b70b9578a7ac1ce37155930b21","https://i.scdn.co/image/7629d989912b138050cb227dd809dc05ad117e46","https://i.scdn.co/image/1537253c1da10ab1429090cbc6fe0d3c555743ad","https://i.scdn.co/image/06922f8150a34b805cf406d120d1c7a6e3f5fbce","https://i.scdn.co/image/11a7ab558b1d8d107f30ebf7cb67c2bd1779f3a5","https://i.scdn.co/image/0075d86382b0d70ebea35daf01bc29bd20a7d8e5","https://i.scdn.co/image/9091ebfa0645f6aeb9ee516da50b3602f7af7b35","https://i.scdn.co/image/e8b73c6a304e75f78362ebe150fdb18c380d2cdd","https://i.scdn.co/image/7da7b80beee1449889396cbac8c93a52f0125613","https://i.scdn.co/image/1416d1e839681213c03f81bdb1e6823b57ad46c2","https://i.scdn.co/image/f91daa105bdd95c874c726574db0b66d540df1f6","https://i.scdn.co/image/1b51d97612be5db27e5051409f126d1cbc71b0c2",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Jazz,,,,,,,,,,,,,,,,,,,,,,,
Red,"https://i.scdn.co/image/20b4c86796de4de4f19032b2ce47e120ef4ae4b3","https://i.scdn.co/image/a856dd76dad35113180b12fcd881f62190df8b54","https://i.scdn.co/image/0c1f5eb1de4205808e624c18daea8aa51ded6ef8","https://i.scdn.co/image/704421e3908d42ef6a6d105bf1a6c9f43a06e3cd","https://i.scdn.co/image/7544230f22eb28e3fbcf2077a5de60a495ca4090","https://i.scdn.co/image/7270bfb653d29c1d5010e21f5b94bec219ff64d3","https://i.scdn.co/image/c3d7522d0659900db3d7f06c5dffd3a0685ee01d","https://i.scdn.co/image/e2901efefc34c92cc9de3c215a68115ee6e9838d",,,,,,,,,,,,,,,,
Orange,"https://i.scdn.co/image/a349cd87ed01dd843176e090e99baf8f1b8d6c4b","https://i.scdn.co/image/9332a97ae7acef6bff044a6e9091ef8028f8d798","https://i.scdn.co/image/ba0ae54525d7bf50cdbd298247b553b4bc84b66d","https://i.scdn.co/image/59511babe153ed39af47f453fadf7afa05098251","https://i.scdn.co/image/34d4b488b75cc8a84326824df279bbeaddf43ae8","https://i.scdn.co/image/e42f5eda6148b5a174031c23dd5741d3e82336c4","https://i.scdn.co/image/724f77162f37738fa303bd01c41484110d409618",,,,,,,,,,,,,,,,,
Yellow,"https://i.scdn.co/image/b52c36c904d9fad5cd64f2d010a07a840678edf3","https://i.scdn.co/image/4ff077bc2206837813f3c263bdc6c71d53350cdd","https://i.scdn.co/image/d60662ed9ab05f1dc0b0fc6bd0f5fec2dc8cba4a","https://i.scdn.co/image/bf18ebc5435158531a3d40ddb017d2a56cf97773","https://i.scdn.co/image/eab6002a9adc491deebcdd952c28be534de4960b","https://i.scdn.co/image/fef50c0cb8af253a05c6e05b707a4f47c142d3d4","https://i.scdn.co/image/7ec50960d7cbc81f3ccc127fc3ba3102d324cd23",,,,,,,,,,,,,,,,,
Green,"https://i.scdn.co/image/f5fc37ae229be515523748feb463c5e6224762eb","https://i.scdn.co/image/3f8668b7088547d526e23e507e24b00a10e0a6f4","https://i.scdn.co/image/5024cde5f8bf700c7d17b7129ee18a4acf1537cd","https://i.scdn.co/image/94981cf65be71ba46531b4e0ff93da5e7b8dc45f",,,,,,,,,,,,,,,,,,,,
Blue,"https://i.scdn.co/image/876dff42d861f2403b6bf6338bde53c2868479e8","https://i.scdn.co/image/6c815ce2d920f7b9fe8c5ced8de3fbb92086d5ec",,,,,,,,,,,,,,,,,,,,,,
Purple,"https://i.scdn.co/image/cd1a73570312db0977070c13952b001a7f9dc6d4","https://i.scdn.co/image/37d73eafd9c2a8e1b7e19806786513abe10eb6fb","https://i.scdn.co/image/9cba1d4641a492adadb2398241a6a6a85845b6f9","https://i.scdn.co/image/d5990941897003cb375c8929f8cdf704434d82d0","https://i.scdn.co/image/591cbfa21a3bdae3ba76cc108cef2ac14f8bcb8b","https://i.scdn.co/image/a0133654d6a44cbaf62f4384725107394462c3ad","https://i.scdn.co/image/0894f60c188f5de9167092438fbbbdcc1f7bc6c4","https://i.scdn.co/image/bdfbd2799f070f8ebf4d288a0467b2637f27168f","https://i.scdn.co/image/d9b8a8e22411f75de14ec97d15e616df74d76d14",,,,,,,,,,,,,,,
Pink,"https://i.scdn.co/image/a72c8dadc57bea56d4e6c7ead0afd62fc1769f86","https://i.scdn.co/image/2f4c005f07579f67d5e3f29c6c9bfe670e16c1a2","https://i.scdn.co/image/0a37a0864f1ba09516e0c5cd614499bfd2d62560","https://i.scdn.co/image/c70bfcfb1ddf7ba5243168f1ddcd64810f3984b7","https://i.scdn.co/image/ac67348c1ab4edb4a8d407d934e63fc5ecb4f749","https://i.scdn.co/image/0b87c182a97b6dbba6ffc447d687701f6f8eb37a","https://i.scdn.co/image/3d05419dbd1d6999a4e067c86450dbf26e40f812",,,,,,,,,,,,,,,,,
Brown,"https://i.scdn.co/image/15900f264ca29b0af45843c36ba37478c52eee65","https://i.scdn.co/image/f1c71e5d6cfd7b1f447c0207d75cbe18a64557c4","https://i.scdn.co/image/bd46c54913d3959b61403eada08d0cbbe46c19b2","https://i.scdn.co/image/ab3877b713884d2369aa18807e693dbbbf9d6f4f",,,,,,,,,,,,,,,,,,,,
Black,"https://i.scdn.co/image/2bc742038755e7ebb305689b0c7b0ef15503a27f","https://i.scdn.co/image/8dbcbd375fa79823e5c3e326bc40f1f8e949c685","https://i.scdn.co/image/c5c2bb20e986ff31dc14d08a1b4133a710d183c4",,,,,,,,,,,,,,,,,,,,,
White,"https://i.scdn.co/image/2c5e6aad21d5588d820a72b62821be77f1250032","https://i.scdn.co/image/40cb3467207001433913134447bc978c2d424d10","https://i.scdn.co/image/b4f5bf11d665ee11a9b7cffcdc1487489826d4df","https://i.scdn.co/image/62aa3d25d089016439a0e913b31edee701c303ba","https://i.scdn.co/image/64a6c0e2f432a35930ce9c3a6d78859938202cb9",,,,,,,,,,,,,,,,,,,
Beige,,,,,,,,,,,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/ba9ba082ef7cdf321b78e0971255eb30908b7a52","https://i.scdn.co/image/8f9dab27895255579b16203b487c0b91c60dd1e3","https://i.scdn.co/image/8200acbc5f13105065890eb7fa8349c76a165c0e","https://i.scdn.co/image/f14e90a98afac35e1a5cc90f67a184b94ef7e524","https://i.scdn.co/image/707c61a46bc32324917987a73d1c8415ef053db9","https://i.scdn.co/image/754f3f6f0f4e560b8db5f225f4a65e9647328738","https://i.scdn.co/image/210df9facd2c5d21690f0c88ccb44098384e7f2d","https://i.scdn.co/image/03b57fc5cd203be8a2fcc94f1d3c927256961169","https://i.scdn.co/image/842ce59e5894c3fa05051e653d7c12d9823d3e58","https://i.scdn.co/image/3070a9a84dba36dc402c8547d49a38e0b41ac106","https://i.scdn.co/image/62efa146b3800a964f54795793df7a75ed4d5267","https://i.scdn.co/image/f1f3bf04452f0a48866a2b1a1ae8179f0ffda5bd",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,K-Pop,,,,,,,,,,,,,,,,,,,,,,,
Red,"https://i.scdn.co/image/8966f2c4cbf7e47c8c978daa85349a9d57d5d3b8","https://i.scdn.co/image/69c99b0e816a5113979c6b99df671eb9d762cde6",,,,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,,,,,,,,,,,,,,,,,,,,,,,,
Green,,,,,,,,,,,,,,,,,,,,,,,,
Blue,"https://i.scdn.co/image/d4e1e2ea4e73c381035f7770ed318824b9d2df14","https://i.scdn.co/image/67675278b93de8cf96aabe54ffcbe8d020b05acd",,,,,,,,,,,,,,,,,,,,,,
Purple,"https://i.scdn.co/image/9c75c67fde68fabbd433749f8f1cd07b8c49ed11","https://i.scdn.co/image/bcea86e33154a3b1f3bb3b5f097cb6db8f227503",,,,,,,,,,,,,,,,,,,,,,
Pink,"https://i.scdn.co/image/119a66360da4b3f446d709b19b4a91b319daaebc","https://i.scdn.co/image/042e8fabd461269d18994088be3ebc2fee7e2cee","https://i.scdn.co/image/6551b45b4e5a692f61cd42357e7f9b08753430f9",,,,,,,,,,,,,,,,,,,,,
Brown,,,,,,,,,,,,,,,,,,,,,,,,
Black,"https://i.scdn.co/image/abad7de9b2050022d87056fa4719b8a0685dcefb","https://i.scdn.co/image/fdcbc520c716e691daab5b0d9a10d321a6df8760","https://i.scdn.co/image/594bb6fda34f07fe96da938135478baa8727889d",,,,,,,,,,,,,,,,,,,,,
White,"https://i.scdn.co/image/84c00681f2040bafb1cc87bc0b06d766f5e56e63","https://i.scdn.co/image/561cd6ef162eb9c6d82ef3a4764e1da2105b1ed0","https://i.scdn.co/image/9f4f56926ab1d9377f7248b0800bf274ef7d7ad2","https://i.scdn.co/image/38ba25ed8579bfe9dd253f40fcffb52338d86115","https://i.scdn.co/image/e20bed05bb268bf50f5be4c19ef245cc6131826c",,,,,,,,,,,,,,,,,,,
Beige,,,,,,,,,,,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/3395afb09e418b2b3173be4a09ca76e8550de110","https://i.scdn.co/image/ced97f1b18277b52d7bbf8e5149e3b3f1946d572","https://i.scdn.co/image/332379c4dc50a1771d8669ea7933ad367026b663","https://i.scdn.co/image/95234cfaf8e6cdfac21853b9c881742928c232ad","https://i.scdn.co/image/a6c1261e031f22e0fedbed203441c5f79eeec183","https://i.scdn.co/image/66a4ce96a7fd03bcd8dd8242782ac0815997d779","https://i.scdn.co/image/66d476d244eeb140a896e64d4350ebf13e667b71","https://i.scdn.co/image/cf9f0edd035423dd16944330a1a27c9bf1a889b6","https://i.scdn.co/image/87df9d3f8f7a2a64059c78d4f7b261df5bf9db0a","https://i.scdn.co/image/b038eaa50b4a7715caf190d47f539feadc30c4e2","https://i.scdn.co/image/e79f5d4f4f5b293abae85976062d8c227bdf2d69","https://i.scdn.co/image/ee50792be20aadebca98cec91295cccb1228acc9","https://i.scdn.co/image/5686c3aa67d92c4e593d9c129147b07ff563aaad","https://i.scdn.co/image/45d1f44432c9791eca30685e9c52c5a9588ace78","https://i.scdn.co/image/0f3b49f14bcaf955fd55f8a0f480582e62f81e84","https://i.scdn.co/image/065e207d9c469de85ab24e2afbb922bcf6afc2e7","https://i.scdn.co/image/407ad77a09ebf896b0097661bd230ebb68f912b6","https://i.scdn.co/image/d5ddd51cdb7016ad73bdd6951162b99acce74591",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Pop,,,,,,,,,,,,,,,,,,,,,,,
Red,"https://i.scdn.co/image/91a80095d0d7b3dded2acdad3ab27ee363643541","https://i.scdn.co/image/19aef00ff423f363d2ba4b0196275336ad343444",,,,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,,,,,,,,,,,,,,,,,,,,,,,,
Green,"https://i.scdn.co/image/e332f9b003d71ade5f2b2ebdc0e39bf9647a84a2","https://i.scdn.co/image/8b6238186da6c5c9b0ff756065883aa1a8fbd339","https://i.scdn.co/image/c2a79e47d7487784c3be29841d3fa2bcf6b6558b","https://i.scdn.co/image/a09de4ae3ad26e860a08f1034ed0a3bdfa10a156",,,,,,,,,,,,,,,,,,,,
